"","Month","Year","LocalityName","Region","Years_Since_Exclosure","Composite_Albedo_Diff","Species","Albedo_Diff"
"28",4,2010,"fritsoe1","telemark",1,0.0131517053476684,"Spruce",-0.00385573895281338
"28.1",4,2010,"fritsoe1","telemark",1,0.0131517053476684,"Birch",-0.000121594855903684
"28.2",4,2010,"fritsoe1","telemark",1,0.0131517053476684,"Pine",-0.000158082213488508
"29",5,2010,"fritsoe1","telemark",1,0.00134123623861232,"Spruce",-0.00143018838006301
"29.1",5,2010,"fritsoe1","telemark",1,0.00134123623861232,"Birch",-6.47555039984815e-05
"29.2",5,2010,"fritsoe1","telemark",1,0.00134123623861232,"Pine",-6.51801214033298e-05
"30",6,2010,"fritsoe1","telemark",1,0.00134123593480831,"Spruce",-0.00143018838006301
"30.1",6,2010,"fritsoe1","telemark",1,0.00134123593480831,"Birch",-6.47555039984815e-05
"30.2",6,2010,"fritsoe1","telemark",1,0.00134123593480831,"Pine",-6.51801214033298e-05
"31",7,2010,"fritsoe1","telemark",1,0.0013412359347573,"Spruce",-0.00143018838006298
"31.1",7,2010,"fritsoe1","telemark",1,0.0013412359347573,"Birch",-6.47555039985093e-05
"31.2",7,2010,"fritsoe1","telemark",1,0.0013412359347573,"Pine",-6.51801214033854e-05
"32",8,2010,"fritsoe1","telemark",1,0.00134123593477342,"Spruce",-0.00143018838006304
"32.1",8,2010,"fritsoe1","telemark",1,0.00134123593477342,"Birch",-6.47555039985093e-05
"32.2",8,2010,"fritsoe1","telemark",1,0.00134123593477342,"Pine",-6.51801214033576e-05
"33",9,2010,"fritsoe1","telemark",1,0.00134123600663452,"Spruce",-0.00143018838006298
"33.1",9,2010,"fritsoe1","telemark",1,0.00134123600663452,"Birch",-6.47555039985093e-05
"33.2",9,2010,"fritsoe1","telemark",1,0.00134123600663452,"Pine",-6.51801214033576e-05
"34",10,2010,"fritsoe1","telemark",1,0.000878023603977679,"Spruce",-0.00145872174938622
"34.1",10,2010,"fritsoe1","telemark",1,0.000878023603977679,"Birch",-6.52265781269923e-05
"34.2",10,2010,"fritsoe1","telemark",1,0.000878023603977679,"Pine",-6.6126969249708e-05
"35",11,2010,"fritsoe1","telemark",1,0.00422359600699218,"Spruce",-0.00219705095766776
"35.1",11,2010,"fritsoe1","telemark",1,0.00422359600699218,"Birch",-7.84415786988513e-05
"35.2",11,2010,"fritsoe1","telemark",1,0.00422359600699218,"Pine",-9.14839627877417e-05
"36",12,2010,"fritsoe1","telemark",1,0.0253630224558993,"Spruce",-0.00322304779253701
"36.1",12,2010,"fritsoe1","telemark",1,0.0253630224558993,"Birch",-0.000101679220302464
"36.2",12,2010,"fritsoe1","telemark",1,0.0253630224558993,"Pine",-0.000130429489965889
"37",1,2010,"fritsoe2","telemark",1,0.0267262167306023,"Spruce",0.000285413303090731
"37.1",1,2010,"fritsoe2","telemark",1,0.0267262167306023,"Birch",0.000638739976818625
"37.2",1,2010,"fritsoe2","telemark",1,0.0267262167306023,"Pine",0
"38",2,2010,"fritsoe2","telemark",1,0.0272784651830523,"Spruce",0.000305290527022217
"38.1",2,2010,"fritsoe2","telemark",1,0.0272784651830523,"Birch",0.000708030648785885
"38.2",2,2010,"fritsoe2","telemark",1,0.0272784651830523,"Pine",0
"39",3,2010,"fritsoe2","telemark",1,0.027120660463914,"Spruce",0.000310085693189799
"39.1",3,2010,"fritsoe2","telemark",1,0.027120660463914,"Birch",0.000728668829693246
"39.2",3,2010,"fritsoe2","telemark",1,0.027120660463914,"Pine",0
"40",4,2010,"fritsoe2","telemark",1,0.0188947349761606,"Spruce",0.000213778916206053
"40.1",4,2010,"fritsoe2","telemark",1,0.0188947349761606,"Birch",0.000478825356037771
"40.2",4,2010,"fritsoe2","telemark",1,0.0188947349761606,"Pine",0
"41",5,2010,"fritsoe2","telemark",1,0.00457624120311492,"Spruce",0.000101292272871673
"41.1",5,2010,"fritsoe2","telemark",1,0.00457624120311492,"Birch",0.000321662778591081
"41.2",5,2010,"fritsoe2","telemark",1,0.00457624120311492,"Pine",0
"42",6,2010,"fritsoe2","telemark",1,0.00457624125897477,"Spruce",0.0001012922728717
"42.1",6,2010,"fritsoe2","telemark",1,0.00457624125897477,"Birch",0.000321662778591025
"42.2",6,2010,"fritsoe2","telemark",1,0.00457624125897477,"Pine",0
"43",7,2010,"fritsoe2","telemark",1,0.00457624125897541,"Spruce",0.0001012922728717
"43.1",7,2010,"fritsoe2","telemark",1,0.00457624125897541,"Birch",0.000321662778591053
"43.2",7,2010,"fritsoe2","telemark",1,0.00457624125897541,"Pine",0
"44",8,2010,"fritsoe2","telemark",1,0.00457624125897524,"Spruce",0.000101292272871645
"44.1",8,2010,"fritsoe2","telemark",1,0.00457624125897524,"Birch",0.000321662778591025
"44.2",8,2010,"fritsoe2","telemark",1,0.00457624125897524,"Pine",0
"45",9,2010,"fritsoe2","telemark",1,0.00457624125345243,"Spruce",0.000101292272871673
"45.1",9,2010,"fritsoe2","telemark",1,0.00457624125345243,"Birch",0.000321662778591081
"45.2",9,2010,"fritsoe2","telemark",1,0.00457624125345243,"Pine",0
"46",10,2010,"fritsoe2","telemark",1,0.00440506605414603,"Spruce",0.00010224641010731
"46.1",10,2010,"fritsoe2","telemark",1,0.00440506605414603,"Birch",0.000322765996658897
"46.2",10,2010,"fritsoe2","telemark",1,0.00440506605414603,"Pine",0
"47",11,2010,"fritsoe2","telemark",1,0.00941721711004051,"Spruce",0.000155170505740876
"47.1",11,2010,"fritsoe2","telemark",1,0.00941721711004051,"Birch",0.000389054390465604
"47.2",11,2010,"fritsoe2","telemark",1,0.00941721711004051,"Pine",0
"48",12,2010,"fritsoe2","telemark",1,0.029025983479086,"Spruce",0.000220364101514603
"48.1",12,2010,"fritsoe2","telemark",1,0.029025983479086,"Birch",0.000490497087830333
"48.2",12,2010,"fritsoe2","telemark",1,0.029025983479086,"Pine",0
"49",1,2010,"furesdal","telemark",1,-0.0527586153371206,"Spruce",-0.0208406252032779
"49.1",1,2010,"furesdal","telemark",1,-0.0527586153371206,"Birch",-0.000210821954463647
"49.2",1,2010,"furesdal","telemark",1,-0.0527586153371206,"Pine",0.000221364514021105
"50",2,2010,"furesdal","telemark",1,-0.0557957464418357,"Spruce",-0.0227587595317961
"50.1",2,2010,"furesdal","telemark",1,-0.0557957464418357,"Birch",-0.000235395503659364
"50.2",2,2010,"furesdal","telemark",1,-0.0557957464418357,"Pine",0.000245474497695852
"51",3,2010,"furesdal","telemark",1,-0.0567452388154223,"Spruce",-0.0234278202060067
"51.1",3,2010,"furesdal","telemark",1,-0.0567452388154223,"Birch",-0.000245860027436928
"51.2",3,2010,"furesdal","telemark",1,-0.0567452388154223,"Pine",0.000254640138386275
"52",4,2010,"furesdal","telemark",1,-0.0281602230698914,"Spruce",-0.0123410327510343
"52.1",4,2010,"furesdal","telemark",1,-0.0281602230698914,"Birch",-0.000141250911116747
"52.2",4,2010,"furesdal","telemark",1,-0.0281602230698914,"Pine",0.00013342977661801
"53",5,2010,"furesdal","telemark",1,-0.0203298785028176,"Spruce",-0.00794764445555343
"53.1",5,2010,"furesdal","telemark",1,-0.0203298785028176,"Birch",-0.000115922335199969
"53.2",5,2010,"furesdal","telemark",1,-0.0203298785028176,"Pine",9.41946832757057e-05
"54",6,2010,"furesdal","telemark",1,-0.020329884224689,"Spruce",-0.00794764445555346
"54.1",6,2010,"furesdal","telemark",1,-0.020329884224689,"Birch",-0.000115922335199969
"54.2",6,2010,"furesdal","telemark",1,-0.020329884224689,"Pine",9.41946832757057e-05
"55",7,2010,"furesdal","telemark",1,-0.0203298842247519,"Spruce",-0.00794764445555343
"55.1",7,2010,"furesdal","telemark",1,-0.0203298842247519,"Birch",-0.000115922335199997
"55.2",7,2010,"furesdal","telemark",1,-0.0203298842247519,"Pine",9.41946832756779e-05
"56",8,2010,"furesdal","telemark",1,-0.0203298842247104,"Spruce",-0.0079476444555534
"56.1",8,2010,"furesdal","telemark",1,-0.0203298842247104,"Birch",-0.000115922335199997
"56.2",8,2010,"furesdal","telemark",1,-0.0203298842247104,"Pine",9.41946832757057e-05
"57",9,2010,"furesdal","telemark",1,-0.0203298838275803,"Spruce",-0.00794764445555343
"57.1",9,2010,"furesdal","telemark",1,-0.0203298838275803,"Birch",-0.000115922335199969
"57.2",9,2010,"furesdal","telemark",1,-0.0203298838275803,"Pine",9.41946832756779e-05
"58",10,2010,"furesdal","telemark",1,-0.0205349884880143,"Spruce",-0.00806375090978556
"58.1",10,2010,"furesdal","telemark",1,-0.0205349884880143,"Birch",-0.000116539384165393
"58.2",10,2010,"furesdal","telemark",1,-0.0205349884880143,"Pine",9.51963269207323e-05
"59",11,2010,"furesdal","telemark",1,-0.0325776321474996,"Spruce",-0.0115217202593321
"59.1",11,2010,"furesdal","telemark",1,-0.0325776321474996,"Birch",-0.000136181668823288
"59.2",11,2010,"furesdal","telemark",1,-0.0325776321474996,"Pine",0.000125885814473259
"60",12,2010,"furesdal","telemark",1,-0.0456258028898957,"Spruce",-0.0162679825777688
"60.1",12,2010,"furesdal","telemark",1,-0.0456258028898957,"Birch",-0.000168580565228726
"60.2",12,2010,"furesdal","telemark",1,-0.0456258028898957,"Pine",0.000171441325496735
"61",1,2010,"kviteseid1","telemark",1,-0.0797067688260499,"Spruce",-0.00302413421492631
"61.1",1,2010,"kviteseid1","telemark",1,-0.0797067688260499,"Birch",0.000612980892008619
"61.2",1,2010,"kviteseid1","telemark",1,-0.0797067688260499,"Pine",0.000493366762049752
"62",2,2010,"kviteseid1","telemark",1,-0.081809169721702,"Spruce",-0.00319169930533686
"62.1",2,2010,"kviteseid1","telemark",1,-0.081809169721702,"Birch",0.000669029065563542
"62.2",2,2010,"kviteseid1","telemark",1,-0.081809169721702,"Pine",0.000529379771113503
"63",3,2010,"kviteseid1","telemark",1,-0.0832641632785055,"Spruce",-0.0032687196343904
"63.1",3,2010,"kviteseid1","telemark",1,-0.0832641632785055,"Birch",0.000701514221407407
"63.2",3,2010,"kviteseid1","telemark",1,-0.0832641632785055,"Pine",0.000547670300235059
"64",4,2010,"kviteseid1","telemark",1,-0.061924342976477,"Spruce",-0.00256387689292842
"64.1",4,2010,"kviteseid1","telemark",1,-0.061924342976477,"Birch",0.00050574473339754
"64.2",4,2010,"kviteseid1","telemark",1,-0.061924342976477,"Pine",0.000408741386912048
"65",5,2010,"kviteseid1","telemark",1,-0.024973395507397,"Spruce",-0.00105063333804198
"65.1",5,2010,"kviteseid1","telemark",1,-0.024973395507397,"Birch",0.000299641463755079
"65.2",5,2010,"kviteseid1","telemark",1,-0.024973395507397,"Pine",0.000188108465088654
"66",6,2010,"kviteseid1","telemark",1,-0.024973426874724,"Spruce",-0.00105063333804198
"66.1",6,2010,"kviteseid1","telemark",1,-0.024973426874724,"Birch",0.000299641463755079
"66.2",6,2010,"kviteseid1","telemark",1,-0.024973426874724,"Pine",0.000188108465088682
"67",7,2010,"kviteseid1","telemark",1,-0.0249734268752368,"Spruce",-0.00105063333804195
"67.1",7,2010,"kviteseid1","telemark",1,-0.0249734268752368,"Birch",0.000299641463755079
"67.2",7,2010,"kviteseid1","telemark",1,-0.0249734268752368,"Pine",0.000188108465088654
"68",8,2010,"kviteseid1","telemark",1,-0.0249734268750234,"Spruce",-0.00105063333804195
"68.1",8,2010,"kviteseid1","telemark",1,-0.0249734268750234,"Birch",0.000299641463755079
"68.2",8,2010,"kviteseid1","telemark",1,-0.0249734268750234,"Pine",0.000188108465088682
"69",9,2010,"kviteseid1","telemark",1,-0.0249734248621382,"Spruce",-0.00105063333804195
"69.1",9,2010,"kviteseid1","telemark",1,-0.0249734248621382,"Birch",0.000299641463755052
"69.2",9,2010,"kviteseid1","telemark",1,-0.0249734248621382,"Pine",0.000188108465088654
"70",10,2010,"kviteseid1","telemark",1,-0.0249334399817076,"Spruce",-0.00106986879427631
"70.1",10,2010,"kviteseid1","telemark",1,-0.0249334399817076,"Birch",0.000301641362896232
"70.2",10,2010,"kviteseid1","telemark",1,-0.0249334399817076,"Pine",0.000190615861171223
"71",11,2010,"kviteseid1","telemark",1,-0.0443824058709737,"Spruce",-0.00161757628569814
"71.1",11,2010,"kviteseid1","telemark",1,-0.0443824058709737,"Birch",0.000363411374421918
"71.2",11,2010,"kviteseid1","telemark",1,-0.0443824058709737,"Pine",0.000264523821798368
"72",12,2010,"kviteseid1","telemark",1,-0.0747626022372864,"Spruce",-0.00231590274138171
"72.1",12,2010,"kviteseid1","telemark",1,-0.0747626022372864,"Birch",0.00046185201956922
"72.2",12,2010,"kviteseid1","telemark",1,-0.0747626022372864,"Pine",0.00036814729072826
"73",1,2010,"kviteseid2","telemark",1,-0.0409661392135766,"Spruce",0.00152150508966808
"73.1",1,2010,"kviteseid2","telemark",1,-0.0409661392135766,"Birch",0.000158258430136282
"73.2",1,2010,"kviteseid2","telemark",1,-0.0409661392135766,"Pine",0.00018238487424499
"74",2,2010,"kviteseid2","telemark",1,-0.0439776302113465,"Spruce",0.00153559843764794
"74.1",2,2010,"kviteseid2","telemark",1,-0.0439776302113465,"Birch",0.000165148057308273
"74.2",2,2010,"kviteseid2","telemark",1,-0.0439776302113465,"Pine",0.000185882021490391
"75",3,2010,"kviteseid2","telemark",1,-0.0468399762691406,"Spruce",0.00154423062162162
"75.1",3,2010,"kviteseid2","telemark",1,-0.0468399762691406,"Birch",0.000171107170247708
"75.2",3,2010,"kviteseid2","telemark",1,-0.0468399762691406,"Pine",0.000188365151311709
"76",4,2010,"kviteseid2","telemark",1,-0.0360854991451356,"Spruce",0.00153586007966533
"76.1",4,2010,"kviteseid2","telemark",1,-0.0360854991451356,"Birch",0.00016530162233086
"76.2",4,2010,"kviteseid2","telemark",1,-0.0360854991451356,"Pine",0.000185952318531357
"77",5,2010,"kviteseid2","telemark",1,-0.0260347798361021,"Spruce",0.00109673816318301
"77.1",5,2010,"kviteseid2","telemark",1,-0.0260347798361021,"Birch",9.65590522996052e-05
"77.2",5,2010,"kviteseid2","telemark",1,-0.0260347798361021,"Pine",0.000121126940787197
"78",6,2010,"kviteseid2","telemark",1,-0.00670183966300314,"Spruce",0.000466732086056104
"78.1",6,2010,"kviteseid2","telemark",1,-0.00670183966300314,"Birch",5.92731246845113e-05
"78.2",6,2010,"kviteseid2","telemark",1,-0.00670183966300314,"Pine",5.79966331678006e-05
"79",7,2010,"kviteseid2","telemark",1,-0.00670183966341287,"Spruce",0.000466732086056104
"79.1",7,2010,"kviteseid2","telemark",1,-0.00670183966341287,"Birch",5.9273124684539e-05
"79.2",7,2010,"kviteseid2","telemark",1,-0.00670183966341287,"Pine",5.79966331678283e-05
"80",8,2010,"kviteseid2","telemark",1,-0.00670183966319715,"Spruce",0.000466732086056132
"80.1",8,2010,"kviteseid2","telemark",1,-0.00670183966319715,"Birch",5.9273124684539e-05
"80.2",8,2010,"kviteseid2","telemark",1,-0.00670183966319715,"Pine",5.79966331678006e-05
"81",9,2010,"kviteseid2","telemark",1,-0.00670183423001319,"Spruce",0.000466732086056132
"81.1",9,2010,"kviteseid2","telemark",1,-0.00670183423001319,"Birch",5.92731246845113e-05
"81.2",9,2010,"kviteseid2","telemark",1,-0.00670183423001319,"Pine",5.79966331678283e-05
"82",10,2010,"kviteseid2","telemark",1,-0.00618616236887115,"Spruce",0.000482308837954165
"82.1",10,2010,"kviteseid2","telemark",1,-0.00618616236887115,"Birch",5.99957644629168e-05
"82.2",10,2010,"kviteseid2","telemark",1,-0.00618616236887115,"Pine",5.94070930510782e-05
"83",11,2010,"kviteseid2","telemark",1,-0.0124113530158571,"Spruce",0.000645692933832931
"83.1",11,2010,"kviteseid2","telemark",1,-0.0124113530158571,"Birch",6.80132265200584e-05
"83.2",11,2010,"kviteseid2","telemark",1,-0.0124113530158571,"Pine",7.45599526085772e-05
"84",12,2010,"kviteseid2","telemark",1,-0.0297469601912312,"Spruce",0.000960104396034001
"84.1",12,2010,"kviteseid2","telemark",1,-0.0297469601912312,"Birch",8.65196580812633e-05
"84.2",12,2010,"kviteseid2","telemark",1,-0.0297469601912312,"Pine",0.000106064052116717
"85",1,2010,"kviteseid3","telemark",1,-0.00796219133995191,"Spruce",-0.0150114921538981
"85.1",1,2010,"kviteseid3","telemark",1,-0.00796219133995191,"Birch",0.000747533728116756
"85.2",1,2010,"kviteseid3","telemark",1,-0.00796219133995191,"Pine",0
"86",2,2010,"kviteseid3","telemark",1,-0.00840779472491404,"Spruce",-0.0153731640542287
"86.1",2,2010,"kviteseid3","telemark",1,-0.00840779472491404,"Birch",0.000790488069519535
"86.2",2,2010,"kviteseid3","telemark",1,-0.00840779472491404,"Pine",0
"87",3,2010,"kviteseid3","telemark",1,-0.00892736290243112,"Spruce",-0.0156338727982162
"87.1",3,2010,"kviteseid3","telemark",1,-0.00892736290243112,"Birch",0.000830628497378916
"87.2",3,2010,"kviteseid3","telemark",1,-0.00892736290243112,"Pine",0
"88",4,2010,"kviteseid3","telemark",1,-0.00715469367429089,"Spruce",-0.0154150762733035
"88.1",4,2010,"kviteseid3","telemark",1,-0.00715469367429089,"Birch",0.000796263981942769
"88.2",4,2010,"kviteseid3","telemark",1,-0.00715469367429089,"Pine",0
"89",5,2010,"kviteseid3","telemark",1,-0.00282761713983615,"Spruce",-0.00923086151369573
"89.1",5,2010,"kviteseid3","telemark",1,-0.00282761713983615,"Birch",0.000444016046481088
"89.2",5,2010,"kviteseid3","telemark",1,-0.00282761713983615,"Pine",0
"90",6,2010,"kviteseid3","telemark",1,-0.00153090452191451,"Spruce",-0.00483741320503167
"90.1",6,2010,"kviteseid3","telemark",1,-0.00153090452191451,"Birch",0.000321056095252875
"90.2",6,2010,"kviteseid3","telemark",1,-0.00153090452191451,"Pine",0
"91",7,2010,"kviteseid3","telemark",1,-0.00153090452195215,"Spruce",-0.00483741320503167
"91.1",7,2010,"kviteseid3","telemark",1,-0.00153090452195215,"Birch",0.000321056095252847
"91.2",7,2010,"kviteseid3","telemark",1,-0.00153090452195215,"Pine",0
"92",8,2010,"kviteseid3","telemark",1,-0.00153090452193802,"Spruce",-0.00483741320503167
"92.1",8,2010,"kviteseid3","telemark",1,-0.00153090452193802,"Birch",0.000321056095252875
"92.2",8,2010,"kviteseid3","telemark",1,-0.00153090452193802,"Pine",0
"93",9,2010,"kviteseid3","telemark",1,-0.00153090383376103,"Spruce",-0.00483741320503167
"93.1",9,2010,"kviteseid3","telemark",1,-0.00153090383376103,"Birch",0.000321056095252875
"93.2",9,2010,"kviteseid3","telemark",1,-0.00153090383376103,"Pine",0
"94",10,2010,"kviteseid3","telemark",1,-0.00146583492605698,"Spruce",-0.00495930843851669
"94.1",10,2010,"kviteseid3","telemark",1,-0.00146583492605698,"Birch",0.000324008122280645
"94.2",10,2010,"kviteseid3","telemark",1,-0.00146583492605698,"Pine",0
"95",11,2010,"kviteseid3","telemark",1,-0.00279907657621542,"Spruce",-0.00693193451566348
"95.1",11,2010,"kviteseid3","telemark",1,-0.00279907657621542,"Birch",0.000374935436059598
"95.2",11,2010,"kviteseid3","telemark",1,-0.00279907657621542,"Pine",0
"96",12,2010,"kviteseid3","telemark",1,-0.00568305522042167,"Spruce",-0.00962289676545064
"96.1",12,2010,"kviteseid3","telemark",1,-0.00568305522042167,"Birch",0.000457206514830333
"96.2",12,2010,"kviteseid3","telemark",1,-0.00568305522042167,"Pine",0
"97",1,2010,"nome_cappelen1","telemark",1,-0.0619704994185621,"Spruce",-0.0095266272192509
"97.1",1,2010,"nome_cappelen1","telemark",1,-0.0619704994185621,"Birch",9.69150610849456e-05
"97.2",1,2010,"nome_cappelen1","telemark",1,-0.0619704994185621,"Pine",0.000190296354941055
"98",2,2010,"nome_cappelen1","telemark",1,-0.0660491279000214,"Spruce",-0.0115228620167476
"98.1",2,2010,"nome_cappelen1","telemark",1,-0.0660491279000214,"Birch",0.00011787552316822
"98.2",2,2010,"nome_cappelen1","telemark",1,-0.0660491279000214,"Pine",0.000233947472825291
"99",3,2010,"nome_cappelen1","telemark",1,-0.0621530388643925,"Spruce",-0.0115880816950867
"99.1",3,2010,"nome_cappelen1","telemark",1,-0.0621530388643925,"Birch",0.00011872200551416
"99.2",3,2010,"nome_cappelen1","telemark",1,-0.0621530388643925,"Pine",0.000235511514103615
"100",4,2010,"nome_cappelen1","telemark",1,-0.0227706247051757,"Spruce",-0.00437435982587647
